 format: day,hour,value location:60_127 Start : 20150101 
 31, 1100, -3.200000 
 31, 1200, -3.600000 
 31, 1300, -4.000000 
 31, 1400, -4.700000 
 31, 1500, -5.400000 
 31, 1600, -5.800000 
 31, 1700, -6.300000 
 31, 1800, -6.700000 
 31, 1900, -6.700000 
 31, 2000, -7.200000 
 31, 2100, -7.700000 
 31, 2200, -7.900000 
 31, 2300, -7.900000 
 Start : 20150201 
 1, 0000, -6.700000 
 1, 0100, -3.400000 
 1, 0200, -1.100000 
 1, 0300, 0.400000 
 1, 0400, 1.200000 
 1, 0500, 3.500000 
 1, 0600, 3.000000 
 1, 0700, 3.200000 
 1, 0800, 2.200000 
 1, 0900, 0.300000 
 1, 1000, -0.700000 
 1, 1100, -1.600000 
 1, 1200, -2.100000 
 1, 1300, -2.600000 
 1, 1400, -3.100000 
 1, 1500, -3.800000 
 1, 1600, -4.200000 
 1, 1700, -4.500000 
 1, 1800, -4.700000 
 1, 1900, -4.900000 
 1, 2000, -4.800000 
 1, 2100, -5.100000 
 1, 2200, -5.200000 
 1, 2300, -5.000000 
 2, 0000, -4.000000 
 2, 0100, -2.200000 
 2, 0200, -0.200000 
 2, 0300, 2.600000 
 2, 0400, 4.400000 
 2, 0500, 5.300000 
 2, 0600, 5.700000 
 2, 0700, 6.000000 
 2, 0800, 5.700000 
 2, 0900, 3.300000 
 2, 1000, 1.700000 
 2, 1100, 0.600000 
 2, 1200, -0.200000 
 2, 1300, -0.900000 
 2, 1400, -1.500000 
 2, 1500, -2.000000 
 2, 1600, -2.500000 
 2, 1700, -2.900000 
 2, 1800, -2.900000 
 2, 1900, -3.000000 
 2, 2000, -3.200000 
 2, 2100, -3.300000 
 2, 2200, -3.200000 
 2, 2300, -3.300000 
 3, 0000, -2.100000 
 3, 0100, 0.200000 
 3, 0200, 2.300000 
 3, 0300, 4.200000 
 3, 0400, 6.100000 
 3, 0500, 6.900000 
 3, 0600, 7.000000 
 3, 0700, 6.300000 
 3, 0800, 4.800000 
 3, 0900, 3.200000 
 3, 1000, 1.800000 
 3, 1100, 0.900000 
 3, 1200, 0.600000 
 3, 1300, -0.300000 
 3, 1400, -0.800000 
 3, 1500, -1.300000 
 3, 1600, -1.600000 
 3, 1700, -1.800000 
 3, 1800, -2.300000 
 3, 1900, -2.100000 
 3, 2000, -2.700000 
 3, 2100, -3.000000 
 3, 2200, -3.000000 
 3, 2300, -3.000000 
 4, 0000, -2.400000 
 4, 0100, -0.600000 
 4, 0200, 2.100000 
 4, 0300, 3.600000 
 4, 0400, 4.300000 
 4, 0500, 5.400000 
 4, 0600, 5.400000 
 4, 0700, 5.000000 
 4, 0800, 3.700000 
 4, 0900, 2.600000 
 4, 1000, 1.600000 
 4, 1100, 1.100000 
 4, 1200, 0.700000 
 4, 1300, 0.700000 
 4, 1400, 0.500000 
 4, 1500, -0.700000 
 4, 1600, -1.300000 
 4, 1700, -1.900000 
 4, 1800, -2.400000 
 4, 1900, -2.800000 
 4, 2000, -3.000000 
 4, 2100, -3.100000 
 4, 2200, -3.400000 
 4, 2300, -3.700000 
 5, 0000, -2.600000 
 5, 0100, -1.100000 
 5, 0200, 0.900000 
 5, 0300, 2.400000 
 5, 0400, 3.400000 
 5, 0500, 3.900000 
 5, 0600, 4.700000 
 5, 0700, 4.500000 
 5, 0800, 3.500000 
 5, 0900, 2.200000 
 5, 1000, 1.100000 
 5, 1100, 0.600000 
 5, 1200, 0.000000 
 5, 1300, -0.500000 
 5, 1400, -1.000000 
 5, 1500, -1.500000 
 5, 1600, -2.200000 
 5, 1700, -2.700000 
 5, 1800, -3.300000 
 5, 1900, -3.300000 
 5, 2000, -3.500000 
 5, 2100, -3.900000 
 5, 2200, -4.100000 
 5, 2300, -4.100000 
 6, 0000, -2.700000 
 6, 0100, 0.100000 
 6, 0200, 2.200000 
 6, 0300, 3.900000 
 6, 0400, 4.300000 
 6, 0500, 5.600000 
 6, 0600, 6.200000 
 6, 0700, 5.800000 
 6, 0800, 4.800000 
 6, 0900, 2.900000 
 6, 1000, 1.700000 
 6, 1100, 1.000000 
